Date,Time,Count,LOC,summary,icon,temperature,humidity,pressure,GroupNo,Day,DayNo,Is_Holiday
01/01/18,07:00:00,189,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.28,0.91,1012.6,5,Monday,0,0
01/01/18,08:00:00,97,ALUVA,Humid,clear-night,80.38,0.89,1012.2,2,Monday,0,0
01/01/18,09:00:00,178,ALUVA,Humid,clear-night,80.86,0.93,1010.6,7,Monday,0,0
01/01/18,10:00:00,300,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.19,0.98,1012.2,8,Monday,0,0
01/01/18,11:00:00,194,ALUVA,Humid,clear-night,80.03,0.92,1013.1,5,Monday,0,0
01/01/18,12:00:00,251,ALUVA,Humid,clear-night,80.94,0.92,1013.3,5,Monday,0,0
01/01/18,13:00:00,115,ALUVA,Humid,clear-night,81.92,0.94,1012.1,5,Monday,0,0
01/01/18,14:00:00,59,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.62,0.96,1010.5,5,Monday,0,0
01/01/18,15:00:00,220,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,79.29,0.97,1011.3,5,Monday,0,0
01/01/18,16:00:00,135,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.51,0.92,1011.6,6,Monday,0,0
01/01/18,17:00:00,225,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.36,0.94,1011.8,3,Monday,0,0
01/01/18,18:00:00,219,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.94,0.93,1010.4,8,Monday,0,0
01/01/18,19:00:00,191,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,82.3,0.94,1010.5,4,Monday,0,0
01/01/18,20:00:00,270,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,82.51,0.96,1010.8,4,Monday,0,0
01/01/18,21:00:00,53,ALUVA,Humid,clear-night,82.39,0.93,1010.7,7,Monday,0,0
01/01/18,22:00:00,255,ALUVA,Humid,clear-night,82.14,0.94,1011.3,4,Monday,0,0
01/01/18,23:00:00,275,ALUVA,Humid and Overcast,cloudy,81.47,0.91,1011.5,8,Monday,0,0
02/01/18,00:00:00,186,ALUVA,Humid and Overcast,cloudy,80.75,0.95,1011.8,4,Tuesday,5,5
02/01/18,01:00:00,282,ALUVA,Humid and Overcast,cloudy,80.69,0.95,1011.2,6,Tuesday,5,5
02/01/18,02:00:00,265,ALUVA,Humid and Overcast,cloudy,81.44,0.92,1010.2,6,Tuesday,5,5
02/01/18,03:00:00,79,ALUVA,Possible Light Rain and Humid,rain,78.67,0.98,1009.3,2,Tuesday,5,5
02/01/18,04:00:00,285,ALUVA,Humid and Overcast,cloudy,81.05,0.94,1008.3,3,Tuesday,5,5
02/01/18,05:00:00,245,ALUVA,Possible Light Rain and Humid,rain,81.77,0.94,1009.5,2,Tuesday,5,5
02/01/18,06:00:00,105,ALUVA,Humid and Overcast,cloudy,81.56,0.96,1010.2,8,Tuesday,5,5
02/01/18,07:00:00,145,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,81.49,0.91,1010.3,2,Tuesday,5,5
02/01/18,08:00:00,279,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,81.92,0.95,1010.1,4,Tuesday,5,5
02/01/18,09:00:00,183,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,83.57,0.94,1009.9,8,Tuesday,5,5
02/01/18,10:00:00,65,ALUVA,Humid and Overcast,cloudy,83.6,0.96,1009.0,4,Tuesday,5,5
02/01/18,11:00:00,117,ALUVA,Humid and Overcast,cloudy,82.78,0.89,1009.5,6,Tuesday,5,5
02/01/18,12:00:00,215,ALUVA,Possible Light Rain and Humid,rain,82.44,0.9,1009.8,3,Tuesday,5,5
02/01/18,13:00:00,120,ALUVA,Humid and Overcast,cloudy,80.21,0.96,1009.8,6,Tuesday,5,5
02/01/18,14:00:00,81,ALUVA,Humid and Overcast,cloudy,79.88,0.98,1009.1,4,Tuesday,5,5
02/01/18,15:00:00,257,ALUVA,Humid and Overcast,cloudy,81.03,0.88,1009.1,2,Tuesday,5,5
02/01/18,16:00:00,202,ALUVA,Humid and Overcast,cloudy,80.31,0.86,1010.8,2,Tuesday,5,5
02/01/18,17:00:00,216,ALUVA,Humid,clear-night,81.06,0.83,1012.5,5,Tuesday,5,5
02/01/18,18:00:00,283,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,81.85,0.92,1012.0,5,Tuesday,5,5
02/01/18,19:00:00,129,ALUVA,Humid and Overcast,cloudy,82.83,0.87,1010.9,5,Tuesday,5,5
02/01/18,20:00:00,112,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.52,0.83,1012.2,4,Tuesday,5,5
02/01/18,21:00:00,157,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,81.73,0.87,1011.5,5,Tuesday,5,5
02/01/18,22:00:00,247,ALUVA,Humid,clear-night,80.81,0.89,1009.9,5,Tuesday,5,5
02/01/18,23:00:00,117,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.95,0.91,1010.0,8,Tuesday,5,5
03/01/18,00:00:00,128,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.11,0.94,1010.4,6,Wednesday,2,0
03/01/18,01:00:00,265,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.49,0.89,1010.4,5,Wednesday,2,0
03/01/18,02:00:00,165,ALUVA,Humid and Overcast,cloudy,81.73,0.91,1010.1,8,Wednesday,2,0
03/01/18,03:00:00,179,ALUVA,Humid and Overcast,cloudy,81.76,0.92,1010.1,6,Wednesday,2,0
03/01/18,04:00:00,225,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.03,0.94,1010.6,6,Wednesday,2,0
03/01/18,05:00:00,196,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.49,0.95,1011.0,4,Wednesday,2,0
03/01/18,06:00:00,161,ALUVA,Humid and Partly Cloudy,partly-cloudy-night,81.36,0.94,1010.7,4,Wednesday,2,0
03/01/18,07:00:00,244,ALUVA,Possible Light Rain and Humid,rain,81.25,0.95,1009.8,2,Wednesday,2,0
03/01/18,08:00:00,281,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.12,0.96,1010.5,5,Wednesday,2,0
03/01/18,09:00:00,61,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,82.2,0.95,1009.9,5,Wednesday,2,0
03/01/18,10:00:00,166,ALUVA,Humid and Mostly Cloudy,partly-cloudy-night,80.97,0.98,1010.6,6,Wednesday,2,0
03/01/18,11:00:00,195,ALUVA,Humid and Overcast,cloudy,80.04,0.96,1009.7,6,Wednesday,2,0
